sigma,dprime_analytic,dprime_empirical,h0_bottleneck,h0_bottleneck_ci_low,h0_bottleneck_ci_high,h0_total_persistence_delta,h0_total_persistence_delta_ci_low,h0_total_persistence_delta_ci_high,h0_max_persistence_delta,h0_max_persistence_delta_ci_low,h0_max_persistence_delta_ci_high,h0_persistence_entropy_delta,h0_persistence_entropy_delta_ci_low,h0_persistence_entropy_delta_ci_high,h0_n_persistent_delta,h0_n_persistent_delta_ci_low,h0_n_persistent_delta_ci_high,h0_landscape_l2_delta,h0_landscape_l2_delta_ci_low,h0_landscape_l2_delta_ci_high,h1_bottleneck,h1_bottleneck_ci_low,h1_bottleneck_ci_high,h1_total_persistence_delta,h1_total_persistence_delta_ci_low,h1_total_persistence_delta_ci_high,h1_max_persistence_delta,h1_max_persistence_delta_ci_low,h1_max_persistence_delta_ci_high,h1_persistence_entropy_delta,h1_persistence_entropy_delta_ci_low,h1_persistence_entropy_delta_ci_high,h1_n_persistent_delta,h1_n_persistent_delta_ci_low,h1_n_persistent_delta_ci_high,h1_landscape_l2_delta,h1_landscape_l2_delta_ci_low,h1_landscape_l2_delta_ci_high
0.5545699969936373,15.9804340346044,16.260680586708766,0.4383206678355215,0.40026867024088186,0.47975503494960636,-1.6548300831519,-2.0413971670694866,-1.3583319602872412,0.06946149696578421,0.01828826288068517,0.1287974650572121,-0.0006302954277617179,-0.0009128479143117055,-0.00035989521128589904,-0.625,-1.4375,0.125,-0.0012439123906980432,-0.007926751122118126,0.005125189026889333,0.29002901982507645,0.25854689154422683,0.3235810658236961,-1.8238819471819028,-2.044161010224251,-1.5937435295355933,-7.836277173822737e-07,-2.3492532632396477e-06,-5.147979403874507e-11,-0.00014148095697597007,-0.0003773609900574737,7.162979176478927e-05,-1.5,-2.8125,-0.375,-0.019599616797960406,-0.023225185846226563,-0.016188652685726626
0.5796682334330422,15.28851978318951,15.698604719709454,0.41014123571802374,0.3656215087732996,0.4577469764992258,-1.5277286404161572,-1.8156180728143831,-1.2527581601278397,0.0068070449985172116,-0.01413976573979719,0.029973092129401562,-0.0005987763310343897,-0.0009242782467586294,-0.00030311293408961124,-0.8125,-1.9703125,0.3453124999999986,-0.004856938265080157,-0.011221700829432952,0.002314108474204732,0.3242339354216822,0.2807459422515315,0.3678425249689337,-1.7128048198910193,-2.024224925824512,-1.4406141995804704,0.003197093378461663,-2.9183086502904114e-12,0.0076464273919017505,-0.00026801447152763336,-0.0004755585153307845,-7.571884060783713e-05,-2.0625,-3.3453125,-0.7171875000000014,-0.014411766676405646,-0.0178016198276282,-0.01118502833624668
0.605902343568794,14.62656375007297,14.305423020727224,0.4212725715932361,0.3672439127941416,0.4879971753280381,-1.3865207207198154,-1.600071149061524,-1.1530804281481468,0.054867208535885614,0.002518406398044836,0.11564821866054678,-0.0004815250802872595,-0.0007577299817372165,-0.00013303610938493617,-0.5,-1.5,0.375,-0.00021657874526981313,-0.004868002999629506,0.005002600501935027,0.2852647370535988,0.25172171218520456,0.3224825077692327,-1.436725371239291,-1.7796047115117057,-1.1350311630562662,-1.0945013444341178e-05,-3.2836245554529464e-05,1.2129825477380507e-09,-5.401356858164563e-05,-0.00027800415688367385,0.00014481868248745458,0.125,-1.0,1.2828124999999986,-0.013840862288420963,-0.018136686099286155,-0.009589703775043345
0.6333237337639321,13.99326881665695,14.023317807897113,0.36130623102019244,0.31002527523369255,0.41381287773882935,-1.692716867570553,-1.9821781332153332,-1.4435607860541861,0.03582622365729038,0.01057318025033023,0.06849883125158163,-0.000579635440835724,-0.0008913575706958665,-0.00031149604901617597,0.25,-0.6875,0.9375,-0.003573162902573923,-0.007782164331233962,0.0008229894955302732,0.2619870563932038,0.2235262044040685,0.3039477704940604,-1.534673437507152,-1.8620852085858988,-1.2058975601952566,0.0009490009266794608,-0.002137820573306943,0.004985595349542594,-1.1288344650584037e-05,-0.00013790505175821226,0.00010526455751664192,-0.125,-1.0625,0.8453124999999986,-0.016549907452812596,-0.020843072703984396,-0.012416442626029454
0.6619861368850231,13.38739402645047,13.520998789878124,0.3858786777574069,0.34138273158616894,0.42914602820849296,-1.5904489242991673,-1.8179624560559344,-1.3658203388509054,0.02698515620876929,0.0019681622846649295,0.056549883028956444,-0.0004588696867292019,-0.0007153898272155721,-0.00018469549092325926,0.0625,-0.9375,1.4078124999999986,-0.005377859302490129,-0.010084557964805738,4.01834795376749e-05,0.33414842122594707,0.26712707843977007,0.4153912089263712,-1.5585297475347062,-1.774949037222904,-1.328936011674696,-1.3673143379744346e-06,-4.102243958292035e-06,3.0094507441624785e-10,-9.932343490121065e-05,-0.0002629032477671142,6.964948554096647e-05,-0.375,-1.3125,0.75,-0.015838496791719447,-0.021576433422553616,-0.010162079863913083
0.6919457175929912,12.807752153385605,12.270401408587759,0.39720609659206185,0.3345299935006047,0.4688947699521143,-1.3748504517289888,-1.65529662605346,-1.1543895286691996,0.00791902582611495,-0.0021097308654119927,0.01993535672957772,-0.000261742700910228,-0.000443454929775243,-8.81521362487426e-05,-0.6875,-1.5,0.0625,-0.011454061265036564,-0.015996935018698148,-0.007482309087305742,0.32523809441795204,0.27076341634798595,0.3789941611488835,-1.5306699160362598,-1.8006462799816405,-1.24703855752159,0.0001902722480029706,-0.00020289323206809095,0.0008751562346959007,0.00011973393840980506,-3.762757736895383e-05,0.0002950360158059078,1.0,0.0,2.0,-0.019971687890623202,-0.02562076883728805,-0.01449761342498341
0.723261182399108,12.25320737541978,12.315987623414818,0.31970866582628915,0.2757396775317718,0.36336306902959725,-1.1521177402373581,-1.4441272988986142,-0.8267849407179512,-0.0016530115985702865,-0.013453204942366868,0.00876912376092874,-0.00021537305931162987,-0.0004141242929543598,-7.588215690059008e-06,0.3125,-0.375,1.0625,-0.004271271762061324,-0.009709062574607312,0.0008434559755481873,0.3445168912198301,0.2882961535827056,0.40013852809906836,-1.3773637189742942,-1.6894173093770752,-1.0614460591146162,-7.687936787265093e-05,-0.00021952476069376988,1.7665520947173653e-07,-0.00021824150229043937,-0.0003646926098166012,-7.405791121066493e-05,-0.4375,-1.4375,0.625,-0.01444585990806968,-0.01898425234257194,-0.009914969985841406
0.755993894701798,11.722673048865435,11.522929711588642,0.41632649403622213,0.3606752183480018,0.48139188651983283,-1.3328058456357894,-1.689580044699812,-1.0522175590055713,0.04070701963003737,0.009310842587763702,0.0773424315563234,-0.0005387527733065611,-0.0008860951411675033,-0.00016857690059812055,-0.5625,-1.6875,0.5625,-0.0014538899696622254,-0.007066873231203261,0.0047840240057828425,0.300096731688854,0.25943956359416226,0.34123360629645416,-1.5503703208549666,-1.885139062465018,-1.2152692521380652,1.069020474087079e-07,-1.2950415739787502e-10,3.2083565029705774e-07,-0.0002251292977429875,-0.0003585321415459239,-8.09861424824629e-05,-1.4375,-2.5625,-0.3125,-0.014024675081215854,-0.019206452765149477,-0.0093457898402319
0.7902079950296776,11.215109579085874,10.576582049504287,0.3538615868818941,0.2927578272904912,0.4156759515686838,-1.0717980172936166,-1.3067754107854093,-0.8305357719070643,0.03552461250342134,-0.0007736540429585762,0.08394056317433558,-0.000271226024796678,-0.0004963077496055359,-3.7034077093366194e-05,0.3125,-0.1875,0.875,-0.0018822575833125077,-0.009184931289746696,0.004530350845348745,0.3010729831397654,0.24111725708380058,0.38472023413219547,-1.2149208642855172,-1.503779621183496,-0.9287481157169397,-0.009707328286303024,-0.024991307684750955,4.2198917067811506e-05,-8.683774346696094e-05,-0.0002494166079635665,6.978280882628804e-05,0.5625,-0.375,1.5625,-0.016537796849720454,-0.022675194878047228,-0.010281982016162617
0.8259705267264483,10.729522383384824,9.703262735342513,0.38402075412719294,0.324879639631598,0.44377428983776546,-1.2182783146037792,-1.5022807538211391,-0.9551272602731736,0.03236779221912098,0.0028679112877761127,0.06714007088188871,-0.0001290684823055943,-0.0004329712709007449,0.00018720484338306942,-0.0625,-1.0,0.75,-0.004284525297568509,-0.011853727767007305,0.0027499962584991264,0.30456058510734674,0.2544585770329511,0.36258378717589745,-1.2772974629977512,-1.5758451712513846,-1.0267917078131124,0.0013876715266326334,-1.066452575675808e-06,0.004135918315042787,-0.00013415908979863556,-0.00026374556877504227,2.1951493628909047e-05,-0.8125,-1.625,-0.0625,-0.013217603411084022,-0.017609303789168317,-0.008458399187293266
