sigma,sigma_index,realization,h0_bottleneck,h0_total_persistence_absent,h0_total_persistence_present,h0_total_persistence_delta,h0_max_persistence_absent,h0_max_persistence_present,h0_max_persistence_delta,h0_persistence_entropy_absent,h0_persistence_entropy_present,h0_persistence_entropy_delta,h0_n_persistent_absent,h0_n_persistent_present,h0_n_persistent_delta,h0_landscape_l2_absent,h0_landscape_l2_present,h0_landscape_l2_delta,h1_bottleneck,h1_total_persistence_absent,h1_total_persistence_present,h1_total_persistence_delta,h1_max_persistence_absent,h1_max_persistence_present,h1_max_persistence_delta,h1_persistence_entropy_absent,h1_persistence_entropy_present,h1_persistence_entropy_delta,h1_n_persistent_absent,h1_n_persistent_present,h1_n_persistent_delta,h1_landscape_l2_absent,h1_landscape_l2_present,h1_landscape_l2_delta
0.26131427798810974,1,9,0.21790332125949635,429.5962723010631,426.6648056658971,-2.9314666351659753,0.9223446097621015,0.9270424244592047,0.004697814697103175,7.255685825727866,7.252608007799557,-0.003077817928309301,1739.0,1733.0,-6.0,2.382905553853538,2.3711725768118606,-0.011732977041677639,0.3048566077111948,820.6680770739083,818.1274946650037,-2.5405824089045836,1.0086634059678576,1.0086634059678576,0.0,7.792793541631452,7.791183574890725,-0.001609966740726776,2989.0,2986.0,-3.0,3.6734971347700376,3.66371380710957,-0.009783327660467744
0.26131427798810974,1,10,0.22046274560121995,430.3352744506316,427.9448967752122,-2.3903776754193586,0.9286368923608788,0.9286368923606806,-1.9817480989559044e-13,7.234133224056992,7.2317993522833435,-0.0023338717736489656,1706.0,1702.0,-4.0,2.444172444434541,2.4345766143692367,-0.009595830065304511,0.2787244459387131,834.1707894809274,831.5609536781521,-2.609835802775251,1.103952824389594,1.103952824389594,0.0,7.793534358093595,7.792516120679208,-0.001018237414387002,2991.0,2991.0,0.0,3.7463545740368756,3.7354354781366474,-0.010919095900228104
0.26131427798810974,1,11,0.2571684602492582,447.1441749199194,445.19256807213776,-1.9516068477816475,1.0848268356673145,1.1072848052568167,0.02245796958950219,7.263213239472258,7.259589844104452,-0.0036233953678062036,1731.0,1723.0,-8.0,2.5002438207004527,2.5041774996384283,0.003933678937975582,0.24798086248749907,810.9805237454977,808.3460420990696,-2.634481646428185,1.1507358902594689,1.1507358902594689,0.0,7.766826864881828,7.765093126307309,-0.0017337385745195277,2925.0,2924.0,-1.0,3.7421278999885534,3.732493096937068,-0.009634803051485452
0.26131427798810974,1,12,0.17650679616914677,428.08166082929233,425.02642953014924,-3.055231299143088,0.8643673706583067,0.8694396777666435,0.005072307108336838,7.2192489095347785,7.216144077064383,-0.00310483247039528,1674.0,1670.0,-4.0,2.4575579230112727,2.442236806437198,-0.015321116574074534,0.31072778934117684,804.7116637001526,802.6250019178015,-2.0866617823511433,1.0630247508698292,1.0630247508698316,2.4424906541753444e-15,7.781858268716197,7.781019529259689,-0.0008387394565074757,2959.0,2959.0,0.0,3.5961674674665813,3.587669553663557,-0.008497913803024115
0.26131427798810974,1,13,0.22284485650402464,429.9366871152234,427.84922479589306,-2.0874623193303137,0.8932692500806941,0.8953713246842107,0.002102074603516524,7.247648985534134,7.245723732928686,-0.001925252605448513,1718.0,1715.0,-3.0,2.380312229699762,2.375475327566359,-0.00483690213340271,0.3944950996147092,834.8389476055977,832.2256625946211,-2.613285010976597,1.0991751303878394,1.0991751303876978,-1.4166445794216997e-13,7.806551450028443,7.806562608606624,1.1158578181458267e-05,3016.0,3018.0,2.0,3.697709393480327,3.681452428122213,-0.01625696535811416
0.26131427798810974,1,14,0.3135684650637111,436.0528135124855,433.4562927845751,-2.596520727910388,0.9739675450243647,0.9790016156193951,0.005034070595030471,7.234314411015109,7.230390111705544,-0.003924299309565171,1715.0,1708.0,-7.0,2.512104771880149,2.5097739654123283,-0.0023308064678206897,0.2960325797154424,828.878928693762,826.7323291376712,-2.1465995560907913,1.0710835918253787,1.0710835918253787,0.0,7.795119240595389,7.7935439330360285,-0.001575307559360084,2993.0,2988.0,-5.0,3.699049721803008,3.68930643898428,-0.009743282818728272
0.26131427798810974,1,15,0.3230142244444708,426.84041957063073,424.52086515557795,-2.319554415052778,0.9473430115158906,1.0694276418546638,0.12208463033877315,7.2477794034281295,7.246264097748149,-0.0015153056799803721,1724.0,1722.0,-2.0,2.3865210741787313,2.3852103360694663,-0.001310738109264964,0.29536588027826133,809.9894056416954,807.9692009183967,-2.0202047232986615,1.2111969757164607,1.211197010643648,3.492718736453071e-08,7.786356572588071,7.786020140832142,-0.0003364317559286789,2979.0,2976.0,-3.0,3.6342553964691704,3.6218401050683737,-0.012415291400796669
0.2731406075217884,2,0,0.2766615467688414,457.12408802064647,455.07731851885785,-2.046769501788617,0.9997335900458909,1.034842845171772,0.035109255125881034,7.254429422212535,7.2527891017538995,-0.0016403204586357134,1746.0,1743.0,-3.0,2.620216885364372,2.612738658769585,-0.007478226594787252,0.3383164190717247,882.2107645733145,880.5662185702997,-1.6445460030147387,1.2696580977096028,1.2696580977096028,0.0,7.810828000950443,7.810971728748087,0.00014372779764393329,3061.0,3058.0,-3.0,4.007249674915787,3.9994279934234958,-0.007821681492291344
0.2731406075217884,2,1,0.3897877337469843,451.4771473776303,449.05000152991255,-2.427145847717725,0.9547062008966344,0.9859338945471989,0.031227693650564547,7.263161486356527,7.262156373018729,-0.0010051133377979582,1741.0,1742.0,1.0,2.528436921906663,2.5226440374943144,-0.005792884412348709,0.3182575062829369,857.9412505522723,856.1218946953195,-1.819355856952825,1.1277699522772575,1.1277699522772575,0.0,7.7746463301694,7.773929664464754,-0.0007166657046457914,2947.0,2943.0,-4.0,4.004716614508106,3.991945755143241,-0.012770859364864773
0.2731406075217884,2,2,0.2785385896296457,468.62513218875466,466.4215368035188,-2.2035953852358716,0.9867024118375868,0.9996369649443312,0.012934553106744406,7.245382962251542,7.243159889871839,-0.002223072379702984,1715.0,1714.0,-1.0,2.7387391934220404,2.731806590693462,-0.006932602728578541,0.331531237154683,865.3292382415971,863.5355032261083,-1.7937350154887781,1.0057095398501708,0.9769821007997728,-0.028727439050397985,7.799102971628304,7.799301705876188,0.0001987342478848575,3017.0,3018.0,1.0,3.9275915552288443,3.910370056788311,-0.017221498440533445
