matrix_size,lesion_sigma_px,sigma,n_pairs,dprime_analytic,h0_bottleneck_normalized,h0_bottleneck_normalized_se,h1_bottleneck_normalized,h1_bottleneck_normalized_se
96,7.0,0.35,16,35.449077018110316,1.1112124362562281,0.035471805692534435,1.1401285757052488,0.07298288564919345
96,7.0,0.5,64,24.81435391267722,1.0087221903555417,0.018061053541946037,0.7901097352493343,0.02133499052784204
96,7.0,0.65,64,19.087964548213247,0.843125206693207,0.0184382522105155,0.6246836398377685,0.015307479392307272
96,7.0,0.8,64,15.508971195423262,0.6370132890343457,0.01918185055847049,0.5192664721626908,0.018462366041856918
96,7.0,1.0,64,12.40717695633861,0.4891478837826332,0.015605199469923265,0.39029390386504603,0.018152877840991753
96,7.0,1.25,64,9.925741565070888,0.3806244103947587,0.016792140211407108,0.33442478039470014,0.011866771121115557
96,7.0,1.6,64,7.754485597711631,0.29140134765680425,0.011443228282131603,0.27137554369064987,0.01243614515908655
96,7.0,2.0,64,6.203588478169305,0.2409817333078791,0.011493052764319875,0.2376824684053554,0.009441463669485884
96,7.0,2.5,64,4.962870782535444,0.2076854821064481,0.007037972176489588,0.1871943985944561,0.007599475035172289
96,7.0,3.2,64,3.8772427988558156,0.171073836058742,0.006378339683743009,0.1799625271499496,0.006260325613553901
96,7.0,4.0,64,3.1017942390846525,0.14558084395770493,0.004089983436362644,0.15339266069615054,0.004770640789690069
96,7.0,5.0,64,2.481435391267722,0.12710620488557015,0.0037422457496931938,0.12528423499256253,0.0032214514982333974
96,7.0,6.5,16,1.9087964548213245,0.10770321519258572,0.006193431204846089,0.11657511736210355,0.0049290595283786225
96,7.0,8.0,16,1.5508971195423262,0.10167773091408265,0.0036465905457634096,0.09695048015375307,0.002936606185473376
96,7.0,12.0,16,1.0339314130282176,0.07034398104781821,0.0021032539172914505,0.07141488442882263,0.0013834328340441699
96,7.0,20.0,16,0.6203588478169305,0.047155669778659884,0.0006526947567973705,0.0474295848564098,0.00037592417463733983
128,3.0,0.25,16,21.269446210866192,0.7564922165278762,0.03962871531516615,0.8273648402355186,0.05076254506664287
128,3.0,0.35,16,15.19246157919014,0.588460729636138,0.038493889045745584,0.6479996394589871,0.03923703154556184
128,3.0,0.5,64,10.634723105433096,0.5179855539702539,0.023445887946423803,0.4164329182026972,0.02322201098602391
128,3.0,0.65,64,8.180556234948535,0.34430005189247126,0.019050201132734534,0.31789716002683055,0.01721714217352731
128,3.0,0.8,64,6.646701940895685,0.28861008436346636,0.021612935528357163,0.24923353955700583,0.018447082626289225
128,3.0,1.0,64,5.317361552716548,0.19236616252581312,0.014195003800732046,0.20326880589532426,0.016125654202126458
128,3.0,1.25,64,4.253889242173239,0.16802665295210586,0.010297670625785163,0.17713937056603232,0.01351461024708606
128,3.0,1.6,64,3.3233509704478426,0.12726816227211707,0.007916686587712178,0.12942294109521174,0.008256774086898793
128,3.0,2.0,64,2.658680776358274,0.10578852145192588,0.006751742116877452,0.11365673895359232,0.0057760071363024785
128,3.0,2.5,64,2.1269446210866194,0.08911105883752107,0.004610483555856802,0.11506312272704365,0.007366698058859953
128,3.0,3.2,64,1.6616754852239213,0.08842506656123023,0.005705189405438109,0.09978421695813317,0.005617136455086031
